"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"2985","pair","b","40","g2",10,531.225113,106.464537,58,20.0413222934361,"pair40"
"3046","pair","a","41","g2",54,456.590181,102.074247,58,22.3557691881245,"pair41"
"3065","pair","b","41","g2",10,465.370764,107.562111,58,23.1132076444751,"pair41"
"3126","pair","a","42","g2",54,360.003797,36.219894,58,10.0609755513218,"pair42"
"3145","pair","b","42","g2",10,352.320791,49.390765,58,14.0186915622587,"pair42"
"3205","pair","a","43","g1",54,565.249868,92.196095,58,16.3106796161162,"pair43"
"3224","pair","b","43","g1",10,451.102322,72.439789,58,16.0583941751468,"pair43"
"3285","pair","a","44","g2",54,445.614455,111.9524,58,25.1231527038323,"pair44"
"3304","pair","b","44","g2",10,534.517837,103.171821,58,19.3018481065207,"pair44"
"3365","pair","a","45","g1",54,482.931923,94.39124,58,19.54545464993,"pair45"
"3384","pair","b","45","g1",10,465.370764,95.488812,58,20.5188678333046,"pair45"
"3445","pair","a","46","g2",54,433.490815,75.642693,58,17.4496645332612,"pair46"
"3464","pair","b","46","g2",10,421.126147,77.824694,58,18.4801382090388,"pair46"
"3525","pair","a","47","g1",54,397.124139,64.005356,58,16.1172161836277,"pair47"
"3544","pair","b","47","g1",10,406.579475,99.644701,58,24.5080499944076,"pair47"
"3605","pair","a","48","g2",54,375.369814,64.756781,58,17.251462047505,"pair48"
"3624","pair","b","48","g2",10,476.34649,91.098522,58,19.1244239041207,"pair48"
"3685","pair","a","49","g1",54,458.785328,74.634934,58,16.2679426400489,"pair49"
"3703","pair","b","49","g1",10,512.566383,81.220369,58,15.8458244031974,"pair49"
"3763","pair","a","1","g1",54,458.236544,86.708232,58,18.9221556279894,"pair1"
"3782","pair","b","1","g1",10,300.07165,67.340765,58,22.4415618736392,"pair1"
"3842","pair","a","2","g1",54,355.476313,85.747856,58,24.1219605538105,"pair2"
"3861","pair","b","2","g1",10,470.858629,134.589835,58,28.5839160016753,"pair2"
"1","pall","a","3","g1",0,334.851737,64.756781,42,19.3389413416721,"pall3"
